Train Epoch: 2 [23040/49000 (47%)]	Train Loss: 1.973580	Val Loss: 1.919508	Val Acc: 54
Train Epoch: 2 [24320/49000 (50%)]	Train Loss: 1.892693	Val Loss: 1.934884	Val Acc: 53
Train Epoch: 2 [25600/49000 (52%)]	Train Loss: 1.906321	Val Loss: 1.927211	Val Acc: 53
Train Epoch: 2 [26880/49000 (55%)]	Train Loss: 1.977250	Val Loss: 1.938325	Val Acc: 52
Train Epoch: 2 [28160/49000 (57%)]	Train Loss: 1.903947	Val Loss: 1.927576	Val Acc: 53
Train Epoch: 2 [29440/49000 (60%)]	Train Loss: 1.933410	Val Loss: 1.933708	Val Acc: 52
Train Epoch: 2 [30720/49000 (63%)]	Train Loss: 1.893887	Val Loss: 1.937992	Val Acc: 53
Train Epoch: 2 [32000/49000 (65%)]	Train Loss: 2.010957	Val Loss: 1.917576	Val Acc: 55
Train Epoch: 2 [33280/49000 (68%)]	Train Loss: 2.036363	Val Loss: 1.925995	Val Acc: 54
Train Epoch: 2 [34560/49000 (70%)]	Train Loss: 1.937025	Val Loss: 1.912802	Val Acc: 55
Train Epoch: 2 [35840/49000 (73%)]	Train Loss: 1.938648	Val Loss: 1.922994	Val Acc: 54
Train Epoch: 2 [37120/49000 (76%)]	Train Loss: 1.907819	Val Loss: 1.953400	Val Acc: 51
Train Epoch: 2 [38400/49000 (78%)]	Train Loss: 1.894429	Val Loss: 1.904118	Val Acc: 55
Train Epoch: 2 [39680/49000 (81%)]	Train Loss: 2.014464	Val Loss: 1.926976	Val Acc: 53
Train Epoch: 2 [40960/49000 (84%)]	Train Loss: 1.966642	Val Loss: 1.931442	Val Acc: 53
Train Epoch: 2 [42240/49000 (86%)]	Train Loss: 1.882733	Val Loss: 1.941067	Val Acc: 52
Train Epoch: 2 [43520/49000 (89%)]	Train Loss: 1.891323	Val Loss: 1.932447	Val Acc: 53
Train Epoch: 2 [44800/49000 (91%)]	Train Loss: 1.889113	Val Loss: 1.918133	Val Acc: 54
Train Epoch: 2 [46080/49000 (94%)]	Train Loss: 1.913966	Val Loss: 1.928865	Val Acc: 53
Train Epoch: 2 [47360/49000 (97%)]	Train Loss: 1.906056	Val Loss: 1.925979	Val Acc: 54
Train Epoch: 2 [48640/49000 (99%)]	Train Loss: 1.883311	Val Loss: 1.918238	Val Acc: 54
Train Epoch: 3 [0/49000 (0%)]	Train Loss: 1.974269	Val Loss: 1.923835	Val Acc: 55
Train Epoch: 3 [1280/49000 (3%)]	Train Loss: 1.921960	Val Loss: 1.916508	Val Acc: 53
Train Epoch: 3 [2560/49000 (5%)]	Train Loss: 1.948714	Val Loss: 1.909792	Val Acc: 55
Train Epoch: 3 [3840/49000 (8%)]	Train Loss: 1.926336	Val Loss: 1.904564	Val Acc: 55
Train Epoch: 3 [5120/49000 (10%)]	Train Loss: 1.936030	Val Loss: 1.919002	Val Acc: 53
Train Epoch: 3 [6400/49000 (13%)]	Train Loss: 1.905432	Val Loss: 1.922583	Val Acc: 55
Train Epoch: 3 [7680/49000 (16%)]	Train Loss: 1.884367	Val Loss: 1.935589	Val Acc: 53
Train Epoch: 3 [8960/49000 (18%)]	Train Loss: 1.957477	Val Loss: 1.929964	Val Acc: 53
Train Epoch: 3 [10240/49000 (21%)]	Train Loss: 1.924479	Val Loss: 1.906048	Val Acc: 56
Train Epoch: 3 [11520/49000 (23%)]	Train Loss: 1.873208	Val Loss: 1.910751	Val Acc: 55
Train Epoch: 3 [12800/49000 (26%)]	Train Loss: 1.894496	Val Loss: 1.907043	Val Acc: 55
Train Epoch: 3 [14080/49000 (29%)]	Train Loss: 1.872823	Val Loss: 1.920000	Val Acc: 54
Train Epoch: 3 [15360/49000 (31%)]	Train Loss: 1.902587	Val Loss: 1.915887	Val Acc: 54
Train Epoch: 3 [16640/49000 (34%)]	Train Loss: 1.934254	Val Loss: 1.914283	Val Acc: 55
Train Epoch: 3 [17920/49000 (37%)]	Train Loss: 1.953731	Val Loss: 1.940910	Val Acc: 52
Train Epoch: 3 [19200/49000 (39%)]	Train Loss: 1.907309	Val Loss: 1.911852	Val Acc: 55
Train Epoch: 3 [20480/49000 (42%)]	Train Loss: 1.888075	Val Loss: 1.901036	Val Acc: 55
Train Epoch: 3 [21760/49000 (44%)]	Train Loss: 1.938354	Val Loss: 1.917915	Val Acc: 54
Train Epoch: 3 [23040/49000 (47%)]	Train Loss: 1.800523	Val Loss: 1.904162	Val Acc: 56
Train Epoch: 3 [24320/49000 (50%)]	Train Loss: 1.874428	Val Loss: 1.907691	Val Acc: 57
Train Epoch: 3 [25600/49000 (52%)]	Train Loss: 1.875230	Val Loss: 1.904079	Val Acc: 55
Train Epoch: 3 [26880/49000 (55%)]	Train Loss: 1.858116	Val Loss: 1.901003	Val Acc: 56
Train Epoch: 3 [28160/49000 (57%)]	Train Loss: 1.872317	Val Loss: 1.901991	Val Acc: 56
Train Epoch: 3 [29440/49000 (60%)]	Train Loss: 1.900450	Val Loss: 1.915262	Val Acc: 56
Train Epoch: 3 [30720/49000 (63%)]	Train Loss: 1.874335	Val Loss: 1.892949	Val Acc: 57
Train Epoch: 3 [32000/49000 (65%)]	Train Loss: 1.873279	Val Loss: 1.885268	Val Acc: 59
Train Epoch: 3 [33280/49000 (68%)]	Train Loss: 1.870911	Val Loss: 1.911042	Val Acc: 55
Train Epoch: 3 [34560/49000 (70%)]	Train Loss: 1.979557	Val Loss: 1.897163	Val Acc: 56
Train Epoch: 3 [35840/49000 (73%)]	Train Loss: 1.892787	Val Loss: 1.894358	Val Acc: 56
Train Epoch: 3 [37120/49000 (76%)]	Train Loss: 1.921017	Val Loss: 1.888764	Val Acc: 58
Train Epoch: 3 [38400/49000 (78%)]	Train Loss: 1.840254	Val Loss: 1.884922	Val Acc: 58
Train Epoch: 3 [39680/49000 (81%)]	Train Loss: 1.973025	Val Loss: 1.894110	Val Acc: 56
Train Epoch: 3 [40960/49000 (84%)]	Train Loss: 1.937994	Val Loss: 1.899619	Val Acc: 57
Train Epoch: 3 [42240/49000 (86%)]	Train Loss: 1.871712	Val Loss: 1.892353	Val Acc: 57
Train Epoch: 3 [43520/49000 (89%)]	Train Loss: 1.934223	Val Loss: 1.892972	Val Acc: 55
Train Epoch: 3 [44800/49000 (91%)]	Train Loss: 1.915248	Val Loss: 1.887702	Val Acc: 57
Train Epoch: 3 [46080/49000 (94%)]	Train Loss: 1.927331	Val Loss: 1.885214	Val Acc: 57
Train Epoch: 3 [47360/49000 (97%)]	Train Loss: 1.890536	Val Loss: 1.896028	Val Acc: 56
Train Epoch: 3 [48640/49000 (99%)]	Train Loss: 1.853575	Val Loss: 1.892295	Val Acc: 56
Train Epoch: 4 [0/49000 (0%)]	Train Loss: 1.976391	Val Loss: 1.894542	Val Acc: 56
Train Epoch: 4 [1280/49000 (3%)]	Train Loss: 1.842000	Val Loss: 1.880645	Val Acc: 60
Train Epoch: 4 [2560/49000 (5%)]	Train Loss: 1.850977	Val Loss: 1.875250	Val Acc: 58
Train Epoch: 4 [3840/49000 (8%)]	Train Loss: 1.901835	Val Loss: 1.884220	Val Acc: 59
Train Epoch: 4 [5120/49000 (10%)]	Train Loss: 1.881238	Val Loss: 1.888796	Val Acc: 56
Train Epoch: 4 [6400/49000 (13%)]	Train Loss: 1.845758	Val Loss: 1.880586	Val Acc: 58
Train Epoch: 4 [7680/49000 (16%)]	Train Loss: 1.881194	Val Loss: 1.892279	Val Acc: 56
Train Epoch: 4 [8960/49000 (18%)]	Train Loss: 1.883725	Val Loss: 1.879751	Val Acc: 59
Train Epoch: 4 [10240/49000 (21%)]	Train Loss: 1.888787	Val Loss: 1.895710	Val Acc: 56
Train Epoch: 4 [11520/49000 (23%)]	Train Loss: 1.904904	Val Loss: 1.892496	Val Acc: 56
Train Epoch: 4 [12800/49000 (26%)]	Train Loss: 1.850611	Val Loss: 1.875543	Val Acc: 58
Train Epoch: 4 [14080/49000 (29%)]	Train Loss: 1.780775	Val Loss: 1.887235	Val Acc: 58
Train Epoch: 4 [15360/49000 (31%)]	Train Loss: 1.815881	Val Loss: 1.904900	Val Acc: 55
Train Epoch: 4 [16640/49000 (34%)]	Train Loss: 1.854434	Val Loss: 1.862035	Val Acc: 61
Train Epoch: 4 [17920/49000 (37%)]	Train Loss: 1.899796	Val Loss: 1.883032	Val Acc: 58
Train Epoch: 4 [19200/49000 (39%)]	Train Loss: 1.909584	Val Loss: 1.903187	Val Acc: 56
Train Epoch: 4 [20480/49000 (42%)]	Train Loss: 1.908175	Val Loss: 1.887700	Val Acc: 56
Train Epoch: 4 [21760/49000 (44%)]	Train Loss: 1.860031	Val Loss: 1.871173	Val Acc: 59
Train Epoch: 4 [23040/49000 (47%)]	Train Loss: 1.919454	Val Loss: 1.898193	Val Acc: 55
Train Epoch: 4 [24320/49000 (50%)]	Train Loss: 1.893187	Val Loss: 1.903939	Val Acc: 55
Train Epoch: 4 [25600/49000 (52%)]	Train Loss: 1.795279	Val Loss: 1.892693	Val Acc: 56
Train Epoch: 4 [26880/49000 (55%)]	Train Loss: 1.859400	Val Loss: 1.882893	Val Acc: 58
Train Epoch: 4 [28160/49000 (57%)]	Train Loss: 1.833990	Val Loss: 1.888306	Val Acc: 56
Train Epoch: 4 [29440/49000 (60%)]	Train Loss: 1.787131	Val Loss: 1.896251	Val Acc: 56
Train Epoch: 4 [30720/49000 (63%)]	Train Loss: 1.911355	Val Loss: 1.890128	Val Acc: 57
Train Epoch: 4 [32000/49000 (65%)]	Train Loss: 1.839450	Val Loss: 1.903907	Val Acc: 55
Train Epoch: 4 [33280/49000 (68%)]	Train Loss: 1.887600	Val Loss: 1.902274	Val Acc: 56
Train Epoch: 4 [34560/49000 (70%)]	Train Loss: 1.968492	Val Loss: 1.876699	Val Acc: 58
Train Epoch: 4 [35840/49000 (73%)]	Train Loss: 1.859956	Val Loss: 1.888721	Val Acc: 57
Train Epoch: 4 [37120/49000 (76%)]	Train Loss: 1.802014	Val Loss: 1.877236	Val Acc: 59
Train Epoch: 4 [38400/49000 (78%)]	Train Loss: 1.918874	Val Loss: 1.885830	Val Acc: 57
Train Epoch: 4 [39680/49000 (81%)]	Train Loss: 1.861772	Val Loss: 1.879033	Val Acc: 59
Train Epoch: 4 [40960/49000 (84%)]	Train Loss: 1.909940	Val Loss: 1.899795	Val Acc: 56
Train Epoch: 4 [42240/49000 (86%)]	Train Loss: 1.889596	Val Loss: 1.875334	Val Acc: 58
Train Epoch: 4 [43520/49000 (89%)]	Train Loss: 1.864552	Val Loss: 1.870650	Val Acc: 60
Train Epoch: 4 [44800/49000 (91%)]	Train Loss: 1.911158	Val Loss: 1.916059	Val Acc: 56
Train Epoch: 4 [46080/49000 (94%)]	Train Loss: 1.805116	Val Loss: 1.879179	Val Acc: 59
Train Epoch: 4 [47360/49000 (97%)]	Train Loss: 1.825671	Val Loss: 1.866929	Val Acc: 60
